CustomerID,Plan,MonthlyPrice,SignupDate,LastActiveDate,UsageScore,InactivityDays,AcquisitionChannel,PaymentStatus,Churned
1,Basic,19.0,2025-10-16,2025-11-20,39,94,Outbound,Paid,0
2,Basic,19.0,2024-03-30,2024-05-01,28,662,Outbound,Paid,1
3,Basic,19.0,2025-09-08,2026-01-25,46,28,Partner,Paid,0
4,Pro,49.0,2024-01-07,2024-06-18,80,614,Paid Search,Paid,1
5,Enterprise,199.0,2024-08-08,2024-11-15,71,464,Partner,Paid,1
6,Pro,49.0,2024-02-14,2025-08-16,65,190,Organic,Overdue,1
7,Basic,19.0,2025-07-19,2025-10-19,18,126,Organic,Paid,0
8,Basic,19.0,2025-11-08,2025-12-15,17,69,Organic,Paid,0
9,Basic,19.0,2025-01-24,2025-08-01,30,205,Organic,Paid,1
10,Pro,49.0,2025-09-15,2026-01-29,49,24,Referral,Paid,0
11,Enterprise,199.0,2024-10-03,2025-09-18,62,157,Organic,Paid,1
12,Pro,49.0,2024-08-22,2025-07-11,45,226,Outbound,Paid,1
13,Basic,19.0,2026-01-05,2026-02-15,31,7,Paid Search,Paid,0
14,Basic,19.0,2026-02-01,2026-02-09,27,13,Outbound,Paid,0
15,Basic,19.0,2025-02-12,2025-10-22,48,123,Organic,Paid,1
16,Pro,49.0,2024-06-05,2025-08-11,59,195,Outbound,Paid,0
17,Basic,19.0,2025-04-24,2025-04-29,69,299,Outbound,Paid,1
18,Basic,19.0,2026-02-07,2025-10-04,34,141,Organic,Paid,1
19,Pro,49.0,2026-01-09,2026-01-20,58,33,Partner,Paid,0
20,Basic,19.0,2025-10-16,2025-12-05,57,79,Outbound,Paid,1
21,Enterprise,199.0,2025-06-27,2025-07-25,60,212,Partner,Paid,0
22,Basic,19.0,2024-09-02,2024-11-21,29,458,Organic,Paid,1
23,Pro,49.0,2025-06-29,2025-11-16,71,98,Outbound,Paid,1
24,Enterprise,199.0,2025-03-09,2025-12-10,87,74,Partner,Paid,0
25,Enterprise,199.0,2025-02-12,2025-11-03,65,111,Organic,Paid,0
26,Basic,19.0,2024-12-12,2025-09-21,26,154,Organic,Paid,1
27,Pro,49.0,2025-12-25,2026-02-18,64,4,Partner,Paid,0
28,Basic,19.0,2025-11-16,2026-01-24,72,29,Outbound,Overdue,0
29,Basic,19.0,2025-08-13,2025-09-30,45,145,Partner,Paid,1
30,Basic,19.0,2025-03-09,2025-04-05,13,323,Organic,Overdue,1
31,Basic,19.0,2024-03-03,2024-11-12,24,467,Paid Search,Paid,1
32,Basic,19.0,2025-03-08,2025-10-30,65,115,Referral,Overdue,1
33,Basic,19.0,2025-07-17,2025-07-20,29,217,Paid Search,Overdue,0
34,Basic,19.0,2024-06-19,2025-10-24,24,121,Organic,Paid,1
35,Basic,19.0,2024-06-17,2025-09-25,51,150,Outbound,Paid,1
36,Pro,49.0,2025-11-08,2025-11-27,58,87,Organic,Paid,1
37,Pro,49.0,2025-08-16,2025-08-28,72,178,Outbound,Paid,0
38,Basic,19.0,2024-06-10,2025-11-12,44,102,Outbound,Paid,1
39,Pro,49.0,2024-03-10,2025-10-14,60,131,Outbound,Paid,1
40,Basic,19.0,2024-03-24,2025-11-11,47,103,Partner,Paid,0
41,Pro,49.0,2024-07-28,2024-12-09,55,440,Partner,Paid,1
42,Enterprise,199.0,2026-02-08,2026-02-08,85,14,Organic,Overdue,0
43,Basic,19.0,2024-03-16,2025-03-08,32,351,Partner,Overdue,0
44,Basic,19.0,2024-10-18,2025-12-18,39,66,Outbound,Paid,0
45,Pro,49.0,2024-01-09,2024-04-24,27,669,Organic,Paid,0
46,Pro,49.0,2024-04-19,2024-09-25,48,515,Partner,Paid,1
47,Pro,49.0,2024-07-27,2025-04-10,70,318,Organic,Paid,0
48,Basic,19.0,2025-10-11,2025-12-20,25,64,Paid Search,Paid,1
49,Enterprise,199.0,2025-10-14,2026-01-31,83,22,Paid Search,Paid,0
50,Basic,19.0,2025-07-12,2025-10-14,53,131,Paid Search,Paid,0
51,Basic,19.0,2024-02-12,2024-03-23,61,701,Paid Search,Paid,0
52,Basic,19.0,2025-11-13,2026-02-20,24,2,Outbound,Paid,0
53,Basic,19.0,2026-02-06,2026-02-11,67,11,Partner,Paid,0
54,Pro,49.0,2025-02-25,2025-07-02,47,235,Organic,Paid,1
55,Pro,49.0,2025-01-26,2025-09-18,66,157,Paid Search,Paid,1
56,Basic,19.0,2024-08-16,2025-03-01,31,358,Organic,Paid,1
57,Basic,19.0,2024-10-12,2025-12-17,17,67,Organic,Overdue,0
58,Basic,19.0,2024-09-24,2025-06-22,38,245,Partner,Paid,1
59,Pro,49.0,2026-01-16,2026-01-23,20,30,Partner,Paid,0
60,Pro,49.0,2024-02-15,2024-02-16,76,737,Paid Search,Paid,1
61,Basic,19.0,2025-01-07,2025-11-22,72,92,Partner,Paid,0
62,Basic,19.0,2025-06-03,2025-12-29,29,55,Outbound,Paid,0
63,Basic,19.0,2024-05-10,2024-11-04,32,475,Outbound,Paid,1
64,Basic,19.0,2024-01-01,2024-08-03,27,568,Partner,Paid,1
65,Basic,19.0,2025-04-21,2025-07-16,31,221,Outbound,Paid,1
66,Basic,19.0,2024-12-09,2025-12-28,23,56,Paid Search,Paid,1
67,Basic,19.0,2024-05-30,2024-08-12,40,559,Outbound,Overdue,1
68,Pro,49.0,2024-07-18,2025-08-15,77,191,Organic,Paid,0
69,Pro,49.0,2026-02-07,2026-02-14,79,8,Outbound,Overdue,0
70,Basic,19.0,2025-04-20,2025-08-25,22,181,Paid Search,Paid,0
71,Pro,49.0,2025-04-20,2025-12-02,80,82,Outbound,Paid,0
72,Pro,49.0,2025-03-12,2025-12-17,58,67,Referral,Paid,0
73,Basic,19.0,2025-04-05,2025-12-27,40,57,Referral,Paid,0
74,Pro,49.0,2024-03-20,2024-11-15,81,464,Outbound,Paid,1
75,Basic,19.0,2024-03-23,2024-10-28,42,482,Outbound,Paid,1
76,Basic,19.0,2025-04-22,2025-08-05,62,201,Outbound,Paid,0
77,Basic,19.0,2025-12-13,2025-10-25,54,120,Referral,Paid,1
78,Basic,19.0,2025-03-05,2025-12-09,26,75,Referral,Overdue,0
79,Basic,19.0,2024-08-12,2025-09-30,25,145,Paid Search,Paid,0
80,Basic,19.0,2025-09-29,2026-01-07,41,46,Organic,Paid,0
81,Basic,19.0,2025-10-20,2025-11-22,46,92,Partner,Paid,0
82,Pro,49.0,2024-12-11,2025-06-23,52,244,Referral,Overdue,1
83,Pro,49.0,2024-09-15,2024-11-07,35,472,Organic,Paid,0
84,Basic,19.0,2025-10-29,2025-11-01,44,113,Organic,Paid,0
85,Basic,19.0,2025-09-28,2026-02-19,55,3,Partner,Paid,0
86,Basic,19.0,2025-01-12,2025-11-18,55,96,Paid Search,Paid,0
87,Basic,19.0,2024-11-14,2025-10-26,52,119,Paid Search,Paid,0
88,Basic,19.0,2024-03-18,2025-12-20,42,64,Partner,Paid,1
89,Pro,49.0,2025-12-01,2025-12-06,91,78,Partner,Paid,0
90,Basic,19.0,2024-03-11,2025-02-23,69,364,Referral,Paid,1
91,Basic,19.0,2024-04-18,2025-08-01,19,205,Outbound,Paid,1
92,Basic,19.0,2025-10-28,2026-02-08,64,14,Referral,Paid,0
93,Pro,49.0,2025-03-22,2025-07-25,48,212,Referral,Paid,0
94,Pro,49.0,2024-09-06,2025-09-29,52,146,Partner,Paid,1
95,Basic,19.0,2024-07-05,2025-04-17,32,311,Partner,Paid,0
96,Basic,19.0,2025-07-23,2025-09-09,49,166,Referral,Paid,1
97,Pro,49.0,2025-07-22,2025-11-24,52,90,Partner,Paid,0
98,Basic,19.0,2024-08-14,2025-04-20,19,308,Referral,Paid,1
99,Basic,19.0,2025-07-20,2025-10-12,17,133,Partner,Paid,1
100,Basic,19.0,2024-09-14,2025-03-30,51,329,Paid Search,Paid,1
101,Basic,19.0,2024-07-15,2026-01-03,16,50,Paid Search,Overdue,0
102,Basic,19.0,2024-10-30,2025-01-29,42,389,Paid Search,Paid,1
103,Basic,19.0,2024-10-07,2026-02-02,51,20,Referral,Paid,0
104,Pro,49.0,2024-04-15,2025-11-23,64,91,Partner,Paid,0
105,Enterprise,199.0,2024-07-07,2024-10-31,74,479,Organic,Paid,1
106,Pro,49.0,2025-08-13,2025-08-26,89,180,Partner,Paid,1
107,Enterprise,199.0,2024-03-28,2025-12-08,93,76,Outbound,Paid,0
108,Basic,19.0,2025-01-24,2025-09-07,57,168,Referral,Paid,1
109,Basic,19.0,2024-11-08,2024-12-28,75,421,Paid Search,Paid,0
110,Pro,49.0,2024-09-27,2025-03-06,74,353,Paid Search,Paid,1
111,Basic,19.0,2024-01-03,2024-02-05,33,748,Referral,Paid,1
112,Pro,49.0,2024-03-13,2024-12-08,44,441,Paid Search,Paid,1
113,Basic,19.0,2025-03-11,2025-07-25,41,212,Paid Search,Paid,0
114,Basic,19.0,2024-11-10,2026-01-06,48,47,Organic,Paid,0
115,Pro,49.0,2025-04-24,2026-01-05,48,48,Outbound,Paid,0
116,Pro,49.0,2024-02-10,2025-01-05,25,413,Paid Search,Paid,1
117,Pro,49.0,2025-11-21,2026-02-15,27,7,Paid Search,Paid,0
118,Basic,19.0,2025-04-26,2025-12-08,23,76,Outbound,Paid,0
119,Pro,49.0,2025-03-22,2025-09-16,53,159,Organic,Paid,1
120,Basic,19.0,2024-06-13,2025-11-02,40,112,Outbound,Overdue,1
121,Basic,19.0,2024-02-07,2025-03-26,34,333,Organic,Paid,0
122,Pro,49.0,2025-11-04,2026-01-02,72,51,Partner,Paid,0
123,Pro,49.0,2025-09-29,2025-11-20,42,94,Partner,Paid,1
124,Pro,49.0,2025-03-24,2025-11-27,42,87,Outbound,Overdue,1
125,Pro,49.0,2024-09-02,2025-10-24,59,121,Organic,Overdue,1
126,Enterprise,199.0,2025-04-17,2025-07-04,77,233,Outbound,Paid,1
127,Basic,19.0,2025-12-23,2026-01-07,61,46,Paid Search,Paid,0
128,Basic,19.0,2025-09-05,2025-10-09,3,136,Referral,Paid,0
129,Enterprise,199.0,2024-12-14,2025-05-07,47,291,Outbound,Overdue,1
130,Basic,19.0,2025-11-06,2025-11-25,38,89,Partner,Paid,0
131,Pro,49.0,2025-07-19,2025-09-05,35,170,Referral,Paid,0
132,Pro,49.0,2024-08-27,2025-10-21,84,124,Referral,Paid,1
133,Enterprise,199.0,2025-01-30,2025-04-17,80,311,Outbound,Paid,1
